model_1	model_2	model_1_tier	model_2_tier	tier_distance	comparison_count
koala-13b	vicuna-13b	Tier 5	Tier 3	2	235
llama-2-70b-chat	vicuna-13b	Tier 2	Tier 3	1	209
llama-2-7b-chat	mistral-7b-instruct	Tier 3	Tier 4	1	207
llama-2-13b-chat	mistral-7b-instruct	Tier 3	Tier 4	1	203
oasst-pythia-12b	vicuna-13b	Tier 6	Tier 3	3	167
llama-2-13b-chat	llama-2-70b-chat	Tier 3	Tier 2	1	146
chatglm3-6b	qwen-14b-chat	Tier 5	Tier 3	2	145
koala-13b	oasst-pythia-12b	Tier 5	Tier 6	1	137
alpaca-13b	vicuna-13b	Tier 6	Tier 3	3	135
chatglm-6b	vicuna-13b	Tier 7	Tier 3	4	124
llama-2-70b-chat	mistral-7b-instruct	Tier 2	Tier 4	2	118
llama-2-7b-chat	stripedhyena-nous-7b	Tier 3	Tier 4	1	117
alpaca-13b	koala-13b	Tier 6	Tier 5	1	112
llama-2-70b-chat	qwen-14b-chat	Tier 2	Tier 3	1	111
llama-2-13b-chat	vicuna-33b	Tier 3	Tier 2	1	106
RWKV-4-Raven-14B	vicuna-13b	Tier 6	Tier 3	3	103
alpaca-13b	chatglm-6b	Tier 6	Tier 7	1	100
chatglm-6b	koala-13b	Tier 7	Tier 5	2	94
vicuna-13b	vicuna-7b	Tier 3	Tier 4	1	85
dolly-v2-12b	vicuna-13b	Tier 8	Tier 3	5	85
dolly-v2-12b	oasst-pythia-12b	Tier 8	Tier 6	2	85
chatglm-6b	oasst-pythia-12b	Tier 7	Tier 6	1	84
vicuna-13b	vicuna-33b	Tier 3	Tier 2	1	82
stablelm-tuned-alpha-7b	vicuna-13b	Tier 8	Tier 3	5	78
mistral-medium	stripedhyena-nous-7b	Tier 1	Tier 4	3	78
fastchat-t5-3b	koala-13b	Tier 7	Tier 5	2	78
dolly-v2-12b	koala-13b	Tier 8	Tier 5	3	75
RWKV-4-Raven-14B	chatglm-6b	Tier 6	Tier 7	1	74
koala-13b	stablelm-tuned-alpha-7b	Tier 5	Tier 8	3	74
codellama-34b-instruct	llama-2-70b-chat	Tier 3	Tier 2	1	73
oasst-pythia-12b	stablelm-tuned-alpha-7b	Tier 6	Tier 8	2	72
alpaca-13b	stablelm-tuned-alpha-7b	Tier 6	Tier 8	2	72
chatglm-6b	dolly-v2-12b	Tier 7	Tier 8	1	72
RWKV-4-Raven-14B	koala-13b	Tier 6	Tier 5	1	70
vicuna-33b	wizardlm-13b	Tier 2	Tier 3	1	70
