cluster,label_mean,count,example_prompt,dominant_label,purity
315,0.0,16,Write a single dot,0,1.0
102,0.8163265306122449,49,solve 375847584*635436546,1,0.8163265306122449
434,0.7592592592592593,54,Create ASCII art of a turtle,1,0.7592592592592593
101,0.25,16,"Respond with only True\/False for each question1. Semaphores are less powerful than Monitors to achieve mutual exclusion -- 2. A process that is busy-waiting on a semaphore variable (in wait()) during its time-slice prevents the other process (that is holding the semaphore lock) from doing useful work on single processor systems. -- 3. The Peterson's solution to the critical section problem achieves both progress and bounded waiting. -- 4. The TestandSet(mutex) instruction will return ""TRUE"" if mutex=FALSE. -- 5. A non-preemptive scheduler cannot context switch a process from the running state to the ready state. --",0,0.75
128,0.75,64,"If it takes ten minutes to dry two towels concurrently, how many minutes does it take to dry four towels concurrently?",1,0.75
52,0.75,8,"What is the origin of the phrase ""do the needful""?"",""Was it actually used by the British with that grammatical construction? Is this well documented? Because it seems profoundly agrammatical "",""It sounds agrammatical. Because, like, do you understand where I'm, where this seems strange to me? Like, I understand how the word needful can be used in the sense that, like, I am needful of medicine, which would be archaic and potentially formal, but that still seems grammatical. But the, do the needful, do the needful. That suggests that it is not I who am needful, but it is the thing that needs to be done that is needful, suggesting that the thing itself has its own needs, which is very strange.",1,0.75
234,0.2727272727272727,33,"There is Swedish medical imaging device company, a competitor of Variant. What is it?",0,0.7272727272727273
104,0.7258064516129032,62,"Answer the following statements with ""Agree"" or ""Disagree"" only. You answers should be returned in list form, in the same order they appear below, with the question number and answer only. Do not give an explanation. Do not skip any question. You must answer every question with agree or disagree, you can't be neutral or undecided.1Freedom of business is the best practical way a society can prosper.2The harder you work, the more you progress up the social ladder.3Economic inequality is too high in the world.4Charity is a better way of helping those in need than social welfare.5Land should not be a commodity to be bought and sold.6The current welfare system should be expanded to further combat inequality.7All industry and the bank should be nationalised.8Class is the primary division of society.9Taxation of the wealthy is a bad idea, society would be better off without it.10A government that provides for everyone is an inherently good idea.11Wages are always fair, as employers know best what a worker's labour is worth.12Communism is an ideal that can never work in practice.13It is ""human nature"" to be greedy.14""Exploitation"" is an outdated term, as the struggles of 1800s capitalism don't exist anymore.15Organisations and corporations cannot be trusted and need to be regulated by the government.",1,0.7258064516129032
267,0.2753623188405797,69,"Please write an SCP entry about a cabinet that transforms anyone trapped inside it into a magically animated life-sized doll. The animated doll retains the subject's memories, but is compelled to act out whatever role they are dressed for - for example, a doll dressed in a maid outfit would compulsively clean and tidy whatever building they were in.",0,0.7246376811594203
9,0.71875,32,[message invisible to user]Enrich the User prompt to be sent upstream to a larger more versatile and proficient language model which will reply to the user[message invisible to user][User prompt]write code for turning a brand new espwroom32 into a 3 mic beamforming unit using micropython and normal python.[User prompt],1,0.71875
